open,high,low,close,volume,openTime,closeTime
1760.99,1760.99,1751.47,1758.51,22937.318,2021-02-09 11:45:00,2021-02-09 11:59:59
1758.48,1768.75,1745.96,1764.66,54499.290,2021-02-09 12:00:00,2021-02-09 12:14:59
1764.60,1773.69,1756.51,1762.44,36016.188,2021-02-09 12:15:00,2021-02-09 12:29:59
1762.45,1762.47,1748.00,1748.57,27563.248,2021-02-09 12:30:00,2021-02-09 12:44:59
1748.56,1753.60,1725.00,1733.79,89973.813,2021-02-09 12:45:00,2021-02-09 12:59:59
1733.79,1735.78,1717.30,1731.88,62353.258,2021-02-09 13:00:00,2021-02-09 13:14:59
1731.88,1740.00,1719.22,1724.10,41673.851,2021-02-09 13:15:00,2021-02-09 13:29:59
1724.25,1743.51,1719.05,1733.13,60163.434,2021-02-09 13:30:00,2021-02-09 13:44:59
1733.12,1746.40,1731.90,1743.08,25435.259,2021-02-09 13:45:00,2021-02-09 13:59:59
1743.07,1745.00,1738.00,1741.48,17859.794,2021-02-09 14:00:00,2021-02-09 14:14:59
1741.40,1750.39,1735.27,1742.37,29931.035,2021-02-09 14:15:00,2021-02-09 14:29:59
1742.37,1749.99,1738.64,1743.31,16304.760,2021-02-09 14:30:00,2021-02-09 14:44:59
1743.37,1760.89,1740.00,1760.23,29696.008,2021-02-09 14:45:00,2021-02-09 14:59:59
1760.23,1760.85,1749.22,1750.27,26443.760,2021-02-09 15:00:00,2021-02-09 15:14:59
1750.28,1761.00,1743.88,1750.27,35015.611,2021-02-09 15:15:00,2021-02-09 15:29:59
1750.33,1754.82,1749.02,1751.52,19272.367,2021-02-09 15:30:00,2021-02-09 15:44:59
1751.37,1753.11,1747.00,1751.09,21244.150,2021-02-09 15:45:00,2021-02-09 15:59:59
1751.10,1765.00,1740.56,1746.24,79773.005,2021-02-09 16:00:00,2021-02-09 16:14:59
1746.24,1746.36,1721.93,1734.00,71391.888,2021-02-09 16:15:00,2021-02-09 16:29:59
1733.99,1755.71,1731.71,1750.39,51275.680,2021-02-09 16:30:00,2021-02-09 16:44:59
1750.39,1754.97,1734.05,1736.78,36047.455,2021-02-09 16:45:00,2021-02-09 16:59:59
1736.66,1750.60,1736.39,1750.55,19665.308,2021-02-09 17:00:00,2021-02-09 17:14:59
1750.54,1751.13,1739.32,1741.76,19008.290,2021-02-09 17:15:00,2021-02-09 17:29:59
1741.76,1742.76,1734.10,1738.26,22800.596,2021-02-09 17:30:00,2021-02-09 17:44:59
1738.26,1745.55,1737.38,1744.33,14335.519,2021-02-09 17:45:00,2021-02-09 17:59:59
1744.34,1752.00,1739.39,1748.51,20372.317,2021-02-09 18:00:00,2021-02-09 18:14:59
1748.51,1749.68,1743.00,1747.58,14806.018,2021-02-09 18:15:00,2021-02-09 18:29:59
1747.58,1761.43,1746.67,1753.00,32347.831,2021-02-09 18:30:00,2021-02-09 18:44:59
1753.01,1757.53,1750.00,1754.75,14423.780,2021-02-09 18:45:00,2021-02-09 18:59:59
1754.74,1760.18,1750.70,1751.41,16519.597,2021-02-09 19:00:00,2021-02-09 19:14:59
1751.53,1757.73,1750.00,1751.01,12692.827,2021-02-09 19:15:00,2021-02-09 19:29:59
1751.01,1757.49,1746.61,1757.06,15157.194,2021-02-09 19:30:00,2021-02-09 19:44:59
1757.00,1778.00,1755.80,1778.00,37699.011,2021-02-09 19:45:00,2021-02-09 19:59:59
1777.99,1796.16,1770.44,1795.64,60629.809,2021-02-09 20:00:00,2021-02-09 20:14:59
1795.86,1797.56,1780.36,1783.00,40713.338,2021-02-09 20:15:00,2021-02-09 20:29:59
1783.10,1785.68,1775.23,1783.75,24469.385,2021-02-09 20:30:00,2021-02-09 20:44:59
1783.43,1786.90,1767.82,1768.85,34531.526,2021-02-09 20:45:00,2021-02-09 20:59:59
1768.84,1773.00,1765.00,1771.51,23570.799,2021-02-09 21:00:00,2021-02-09 21:14:59
1771.51,1775.99,1770.00,1775.94,14721.038,2021-02-09 21:15:00,2021-02-09 21:29:59
1775.94,1775.95,1761.11,1771.14,22263.028,2021-02-09 21:30:00,2021-02-09 21:44:59
1771.15,1772.85,1767.57,1770.48,9941.989,2021-02-09 21:45:00,2021-02-09 21:59:59
1770.49,1770.49,1753.33,1762.72,29849.514,2021-02-09 22:00:00,2021-02-09 22:14:59
1762.73,1764.48,1757.46,1762.78,10656.416,2021-02-09 22:15:00,2021-02-09 22:29:59
1762.79,1765.90,1760.57,1761.90,9851.297,2021-02-09 22:30:00,2021-02-09 22:44:59
1761.89,1768.20,1759.68,1767.11,11617.634,2021-02-09 22:45:00,2021-02-09 22:59:59
1767.11,1769.87,1749.09,1750.22,22198.729,2021-02-09 23:00:00,2021-02-09 23:14:59
1750.50,1770.00,1749.86,1769.59,19804.406,2021-02-09 23:15:00,2021-02-09 23:29:59
1769.60,1779.99,1767.21,1774.77,23890.505,2021-02-09 23:30:00,2021-02-09 23:44:59
1774.77,1776.20,1766.16,1770.79,21156.684,2021-02-09 23:45:00,2021-02-09 23:59:59
1770.99,1780.00,1761.00,1764.23,33619.212,2021-02-10 00:00:00,2021-02-10 00:14:59
1764.23,1783.25,1762.81,1781.69,17455.808,2021-02-10 00:15:00,2021-02-10 00:29:59
1781.69,1793.63,1775.76,1787.81,33442.770,2021-02-10 00:30:00,2021-02-10 00:44:59
1787.82,1800.00,1784.30,1789.43,36831.814,2021-02-10 00:45:00,2021-02-10 00:59:59
1789.43,1795.79,1784.02,1788.86,25591.055,2021-02-10 01:00:00,2021-02-10 01:14:59
1788.87,1795.00,1783.08,1786.25,21413.160,2021-02-10 01:15:00,2021-02-10 01:29:59
1786.14,1791.91,1784.54,1790.45,15813.717,2021-02-10 01:30:00,2021-02-10 01:44:59
1790.45,1811.00,1785.01,1809.37,42929.350,2021-02-10 01:45:00,2021-02-10 01:59:59
1809.37,1820.00,1801.00,1816.28,40945.239,2021-02-10 02:00:00,2021-02-10 02:14:59
1816.28,1825.00,1812.83,1817.47,35058.154,2021-02-10 02:15:00,2021-02-10 02:29:59
1817.42,1827.66,1809.76,1823.85,34235.939,2021-02-10 02:30:00,2021-02-10 02:44:59
1823.85,1832.40,1812.45,1814.81,37866.010,2021-02-10 02:45:00,2021-02-10 02:59:59
1814.81,1822.21,1802.98,1821.42,38405.153,2021-02-10 03:00:00,2021-02-10 03:14:59
1821.40,1830.00,1814.42,1816.24,27422.112,2021-02-10 03:15:00,2021-02-10 03:29:59
1816.06,1816.48,1805.82,1809.34,23243.565,2021-02-10 03:30:00,2021-02-10 03:44:59
1809.33,1817.98,1805.56,1815.08,17866.262,2021-02-10 03:45:00,2021-02-10 03:59:59
1815.08,1819.51,1771.49,1771.97,90076.206,2021-02-10 04:00:00,2021-02-10 04:14:59
1771.96,1787.54,1771.00,1785.66,42006.409,2021-02-10 04:15:00,2021-02-10 04:29:59
1785.65,1791.52,1785.03,1788.62,15356.056,2021-02-10 04:30:00,2021-02-10 04:44:59
1788.61,1792.00,1787.50,1791.28,12383.708,2021-02-10 04:45:00,2021-02-10 04:59:59
1791.28,1794.72,1786.77,1791.66,14285.194,2021-02-10 05:00:00,2021-02-10 05:14:59
1791.67,1801.53,1788.50,1795.92,20806.478,2021-02-10 05:15:00,2021-02-10 05:29:59
1795.93,1804.60,1795.27,1800.50,18592.961,2021-02-10 05:30:00,2021-02-10 05:44:59
1800.49,1806.86,1795.79,1801.76,19795.470,2021-02-10 05:45:00,2021-02-10 05:59:59
1801.76,1831.76,1801.76,1820.96,56118.813,2021-02-10 06:00:00,2021-02-10 06:14:59
1820.96,1827.60,1814.63,1817.77,28384.196,2021-02-10 06:15:00,2021-02-10 06:29:59
1817.77,1821.00,1810.20,1811.65,22982.535,2021-02-10 06:30:00,2021-02-10 06:44:59
1811.65,1816.26,1805.27,1806.96,19430.315,2021-02-10 06:45:00,2021-02-10 06:59:59
1806.99,1819.61,1805.00,1813.73,25317.956,2021-02-10 07:00:00,2021-02-10 07:14:59
1813.73,1818.18,1805.80,1814.52,20367.787,2021-02-10 07:15:00,2021-02-10 07:29:59
1814.52,1823.53,1812.77,1821.47,23296.371,2021-02-10 07:30:00,2021-02-10 07:44:59
